article_id_story	heading_name	paragraph_name	comment_name	category
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Finally, doughnuts in the Recipes for Health column! Mind you, they are pure fruit. I made them with Saturn peaches, those amusing flat peaches that look like the rings of Saturn (or like bagels; they are also known as doughnut peaches). The doughnuts are fun to work with and delicious, even if, admittedly, they are higher in sugar than what you might expect from me."	"Delicious. This is one word that comes to my mind when I think of my favorite fruit: peaches. I have many memories with the fruit, peaches. In this article I was practically drooling over how delicious these peach doughnuts sounded. I have many memories of my most favorite fruit, but one is when my neighbors brought over some peaches from their familys peach farm. These peaches were amazing! They were juicy, soft, and delicious. The peaches themselves even looked as they tasted. They were a vibrant coral-orange and were the perfect peach shape. Another wonderful memory I have of the delicious fruit is when my dad cooked my family a special dessert. My dad spent at least 2 hours cooking this delectable dessert. He made an exquisite caramel sauce that just melted in your mouth. And he grilled to peaches. The peaches flesh was so ripe. It was so juicy that my mouth nearly flooded with the freshly grilled peach. That was the best dessert that I had ever had and I will never forget the experience and how tasty it was. My last memory with peaches is when my family went peach picking. This was such a fun thing to do because we got to pick our own peaches, and just like apple picking, eat the peaches too! After we picked the peaches, we went home and made an amazing peach pie. I had never had peach pie before then so I was so excited to try it. This article was great because it reminded me of how many memories I have with my favorite fruits!"	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Im not the first to make Saturn peach doughnuts. These are inspired by a baked pistachio-encrusted Saturn peach doughnut I learned to make from the pastry chef Sherry Yard. I coat mine with a mix of ground almonds and raw brown sugar, sear them in butter and set them on a lime-inflected raspberry sauce. Its a match made in heaven. Vanilla ice cream is welcome, though not required."	"Delicious. This is one word that comes to my mind when I think of my favorite fruit: peaches. I have many memories with the fruit, peaches. In this article I was practically drooling over how delicious these peach doughnuts sounded. I have many memories of my most favorite fruit, but one is when my neighbors brought over some peaches from their familys peach farm. These peaches were amazing! They were juicy, soft, and delicious. The peaches themselves even looked as they tasted. They were a vibrant coral-orange and were the perfect peach shape. Another wonderful memory I have of the delicious fruit is when my dad cooked my family a special dessert. My dad spent at least 2 hours cooking this delectable dessert. He made an exquisite caramel sauce that just melted in your mouth. And he grilled to peaches. The peaches flesh was so ripe. It was so juicy that my mouth nearly flooded with the freshly grilled peach. That was the best dessert that I had ever had and I will never forget the experience and how tasty it was. My last memory with peaches is when my family went peach picking. This was such a fun thing to do because we got to pick our own peaches, and just like apple picking, eat the peaches too! After we picked the peaches, we went home and made an amazing peach pie. I had never had peach pie before then so I was so excited to try it. This article was great because it reminded me of how many memories I have with my favorite fruits!"	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Peeling Saturn peaches is not usually necessary, but the ground almonds adhere to the peaches better if the flesh is exposed. After blanching, the skin can still be difficult to remove, especially if the peaches are not perfectly ripe. But even if it does not come off neatly, you will be hiding the surface with the ground almond mixture."	"Delicious. This is one word that comes to my mind when I think of my favorite fruit: peaches. I have many memories with the fruit, peaches. In this article I was practically drooling over how delicious these peach doughnuts sounded. I have many memories of my most favorite fruit, but one is when my neighbors brought over some peaches from their familys peach farm. These peaches were amazing! They were juicy, soft, and delicious. The peaches themselves even looked as they tasted. They were a vibrant coral-orange and were the perfect peach shape. Another wonderful memory I have of the delicious fruit is when my dad cooked my family a special dessert. My dad spent at least 2 hours cooking this delectable dessert. He made an exquisite caramel sauce that just melted in your mouth. And he grilled to peaches. The peaches flesh was so ripe. It was so juicy that my mouth nearly flooded with the freshly grilled peach. That was the best dessert that I had ever had and I will never forget the experience and how tasty it was. My last memory with peaches is when my family went peach picking. This was such a fun thing to do because we got to pick our own peaches, and just like apple picking, eat the peaches too! After we picked the peaches, we went home and made an amazing peach pie. I had never had peach pie before then so I was so excited to try it. This article was great because it reminded me of how many memories I have with my favorite fruits!"	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"And do not worry if your peach rounds break, as they often do at the indentation. You will still be able to arrange them as rounds on the plate. This dessert is a forgiving one that looks and tastes as if it takes more work than it does."	"Delicious. This is one word that comes to my mind when I think of my favorite fruit: peaches. I have many memories with the fruit, peaches. In this article I was practically drooling over how delicious these peach doughnuts sounded. I have many memories of my most favorite fruit, but one is when my neighbors brought over some peaches from their familys peach farm. These peaches were amazing! They were juicy, soft, and delicious. The peaches themselves even looked as they tasted. They were a vibrant coral-orange and were the perfect peach shape. Another wonderful memory I have of the delicious fruit is when my dad cooked my family a special dessert. My dad spent at least 2 hours cooking this delectable dessert. He made an exquisite caramel sauce that just melted in your mouth. And he grilled to peaches. The peaches flesh was so ripe. It was so juicy that my mouth nearly flooded with the freshly grilled peach. That was the best dessert that I had ever had and I will never forget the experience and how tasty it was. My last memory with peaches is when my family went peach picking. This was such a fun thing to do because we got to pick our own peaches, and just like apple picking, eat the peaches too! After we picked the peaches, we went home and made an amazing peach pie. I had never had peach pie before then so I was so excited to try it. This article was great because it reminded me of how many memories I have with my favorite fruits!"	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Finally, doughnuts in the Recipes for Health column! Mind you, they are pure fruit. I made them with Saturn peaches, those amusing flat peaches that look like the rings of Saturn (or like bagels; they are also known as doughnut peaches). The doughnuts are fun to work with and delicious, even if, admittedly, they are higher in sugar than what you might expect from me."	"There are various Czech recipes for what are called fruit dumplings... where the fruit (peach, apricot, bing cherries, plums) are encased in a dough made of potato, flour, egg or a bread dough with yeast (prob. an egg), altho one could also use a biscuit dough (make a thin wrapping)-- dropped into boiling water and served with butter, cottage cheese, cinnamon, sugar to taste. YUM..."	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Im not the first to make Saturn peach doughnuts. These are inspired by a baked pistachio-encrusted Saturn peach doughnut I learned to make from the pastry chef Sherry Yard. I coat mine with a mix of ground almonds and raw brown sugar, sear them in butter and set them on a lime-inflected raspberry sauce. Its a match made in heaven. Vanilla ice cream is welcome, though not required."	"There are various Czech recipes for what are called fruit dumplings... where the fruit (peach, apricot, bing cherries, plums) are encased in a dough made of potato, flour, egg or a bread dough with yeast (prob. an egg), altho one could also use a biscuit dough (make a thin wrapping)-- dropped into boiling water and served with butter, cottage cheese, cinnamon, sugar to taste. YUM..."	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Peeling Saturn peaches is not usually necessary, but the ground almonds adhere to the peaches better if the flesh is exposed. After blanching, the skin can still be difficult to remove, especially if the peaches are not perfectly ripe. But even if it does not come off neatly, you will be hiding the surface with the ground almond mixture."	"There are various Czech recipes for what are called fruit dumplings... where the fruit (peach, apricot, bing cherries, plums) are encased in a dough made of potato, flour, egg or a bread dough with yeast (prob. an egg), altho one could also use a biscuit dough (make a thin wrapping)-- dropped into boiling water and served with butter, cottage cheese, cinnamon, sugar to taste. YUM..."	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"And do not worry if your peach rounds break, as they often do at the indentation. You will still be able to arrange them as rounds on the plate. This dessert is a forgiving one that looks and tastes as if it takes more work than it does."	"There are various Czech recipes for what are called fruit dumplings... where the fruit (peach, apricot, bing cherries, plums) are encased in a dough made of potato, flour, egg or a bread dough with yeast (prob. an egg), altho one could also use a biscuit dough (make a thin wrapping)-- dropped into boiling water and served with butter, cottage cheese, cinnamon, sugar to taste. YUM..."	3
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Finally, doughnuts in the Recipes for Health column! Mind you, they are pure fruit. I made them with Saturn peaches, those amusing flat peaches that look like the rings of Saturn (or like bagels; they are also known as doughnut peaches). The doughnuts are fun to work with and delicious, even if, admittedly, they are higher in sugar than what you might expect from me."	I think it sounds delish but 'recipes for health' tag?..it is a delicious alternative for deep fried cheesecake...but healthy not so much! Butter..brown sugar...ice cream? The only two ingredients that are healthy are the peaches and almonds! I'm a fan of anything that involves sugar and butter so count me in but mislabed as 'healthy'	4
https://www.nytimes.com/2015/07/29/dining/doughnut-saturn-peach-dessert.html	A Doughnut Thats a Peach	"Im not the first to make Saturn peach doughnuts. These are inspired by a baked pistachio-encrusted Saturn peach doughnut I learned to make from the pastry chef Sherry Yard. I coat mine with a mix of ground almonds and raw brown sugar, sear them in butter and set them on a lime-inflected raspberry sauce. Its a match made in heaven. Vanilla ice cream is welcome, though not required."	I think it sounds delish but 'recipes for health' tag?..it is a delicious alternative for deep fried cheesecake...but healthy not so much! Butter..brown sugar...ice cream? The only two ingredients that are healthy are the peaches and almonds! I'm a fan of anything that involves sugar and butter so count me in but mislabed as 'healthy'	5
